x	y	BPH_1	BPH_2	BPH_3	BPH_4	BPH_5	BPH_6	BPH_7	BPH_8	BPH_9	BPH_10	BPH_11	BPH_12	BPH_13	BPH_14	G5_1	G5_2	G5_3	G5_4	G5_5	G5_6	G5_7	G5_8	G5_9	G5_10	G5_11	G5_12	G5_13	G5_14	G5_15	G5_16	G5_17	G5_18
1728	1176	0.898023969	0.032430928	0.144703796	-2.327641756	0.086884898	0.684826269	0.842851231	0.924487088	-0.29514353	-0.634625709	0.504099153	0.577131746	-0.17525939	0.445920423	0.099471834	-0.262889979	-0.671697052	0.273708873	-0.468146616	-0.412156845	-0.358870087	0.189811349	-0.707355315	-0.032409909	-0.929780711	0.419883235	-0.293250571	-0.435001179	0.250122049	-0.950571031	-0.724168856	-0.174964507
1445	1230	0.737478607	0.04909565	0.046182559	-1.070484128	0.230778315	0.487571596	0.696031117	1.030441027	-0.414963102	-0.933259374	0.738488872	0.468980093	-0.036297989	0.426017787	-0.106072753	-0.289314077	-0.683449972	0.257236958	-0.580758809	-0.56947661	-0.106898374	0.304012669	-0.500116679	0.315411427	-0.605391455	0.685773749	0.111334736	-0.290256053	0.282461971	-0.512594672	-0.356142631	0.16863496
1438	1165	0.645533692	-0.033910092	0.011226745	-2.100506026	0.186950847	0.421044992	0.640243205	0.962072591	-0.48498217	-1.226275901	0.596070875	0.420312211	-0.103834106	0.369163202	-0.120900063	-0.314387891	-0.737534184	0.18830773	-0.634812154	-0.662308606	-0.155347059	0.261882945	-0.597673442	0.232229969	-0.728251126	0.658829718	0.051324248	-0.324098082	0.264742963	-0.59172101	-0.401622366	0.156607851
1736	1245	0.853463492	0.054626412	0.191998316	-1.499646892	0.118888963	0.636065391	0.76643588	0.792543379	-0.233157081	-0.580433931	0.569227514	0.644674475	-0.081636944	0.466626428	0.173519693	-0.248099796	-0.585410478	0.349571333	-0.327957891	-0.319353534	-0.278536603	0.210329294	-0.779367161	-0.13025651	-0.719172678	0.438321184	-0.280102276	-0.46053492	0.265852208	-0.938321515	-0.728038408	-0.08346589
1984	1404	-1.003885596	0.513397319	0.617760441	0.607680599	0.745625495	-0.633447985	-1.476472157	-0.375816411	0.293864745	-1.438975442	-2.017050997	1.032210055	-1.185091036	-0.627265679	0.687837617	-1.256738928	0.03922046	-1.753386195	0.206506857	-1.533176852	-1.988391124	-1.855891344	-1.407751055	-1.903132253	-1.415587939	-0.883241265	-1.858018691	-1.477265552	-0.838598048	-1.679353617	-1.454117441	-1.296994388
1712	1266	0.702111502	-0.05683889	0.006533816	-0.947756198	0.067180012	0.262204219	0.449077344	0.88371361	-0.378905933	-0.63752003	0.719377655	0.469767263	-0.084675238	0.40002604	-0.199342643	-0.357583846	-0.648569811	0.206399347	-0.651597308	-0.656372762	-0.269175729	0.287253254	-0.513305512	0.238536621	-0.51121965	0.636582284	0.017606069	-0.423399669	0.265645218	-0.615650274	-0.435965201	0.15507218
1272	614	0.811046126	0.119327125	0.095387946	-0.093483523	0.257871309	0.618799032	0.821537981	1.166252711	-0.330394516	-0.735821956	0.580547723	0.382469529	-0.079218951	0.30948103	-0.02628669	-0.319188896	-0.793696749	0.09658101	-0.327573446	-0.477635267	-0.183435649	0.331403823	-0.730914605	0.145504181	-0.772576225	0.406885291	-0.031624234	-0.467878372	0.275119285	-0.578946081	-0.475727772	0.199770213
1991	1186	0.719744954	0.002450442	0.150657603	-1.456819351	0.028536304	0.505077986	0.627978949	0.692614804	-0.285113434	-0.703410497	0.510271282	0.594044691	-0.212497002	0.427486312	0.054069738	-0.317871879	-0.658358114	0.293795906	-0.43440096	-0.419911744	-0.407072136	0.160768285	-0.707193133	-0.093069333	-0.822220032	0.318265057	-0.431674662	-0.517269254	0.246371533	-0.81849403	-0.722664071	-0.200536502
1436	1389	-0.516978058	0.469046386	0.368392876	0.715237641	0.745347821	0.238322643	-0.819941512	0.443792871	0.090049581	-0.574474648	-0.905878477	0.730333582	-0.400824746	0.256334943	0.317816434	-0.511217381	-0.163834046	-0.526501759	-0.059665622	-0.920910584	-0.277050029	-0.807908908	-0.585887598	-0.922099565	-0.60573204	0.032463071	-0.461077361	-0.886830389	0.043375515	-0.797551164	-0.804632507	-0.455378073
2119	914	0.533056027	0.68679716	0.344617584	0.284226577	0.20812326	0.197091066	0.017421907	-0.004852614	0.36145368	0.343553106	0.649383286	-0.553068788	0.262851018	-0.020583554	-0.323557966	0.335715471	-0.573959011	-0.461884473	-0.400515624	-0.279594835	-0.289632561	-0.416778668	-0.240171273	-0.975805833	-0.832990857	-0.999559218	-0.495418443	-0.07786622	0.01335856	-0.284935266	-0.964191546	-0.829802195
1993	901	0.431547288	0.577276756	0.292820615	0.086366946	0.167585772	0.195749304	0.358758436	0.040555792	0.333859415	-0.01198449	0.803086437	-0.613085215	0.180737794	0.05273109	-0.500550054	0.338067708	-0.320287722	-0.713866981	-0.162118284	-0.300141759	-0.372589594	-0.378985557	-0.830950971	-0.813398358	-0.85266523	-0.698660757	-0.577704359	-0.132591044	0.068057067	-0.630631006	-0.670045887	-0.747388458
1420	614	0.782483843	0.200484573	0.110077708	-0.178650831	0.230733745	0.407663231	0.891570743	1.028544255	-0.299364299	-0.360299692	0.797401641	0.304261267	-0.134982346	0.231742673	-0.092557903	-0.322835577	-0.774200607	0.117080223	-0.228493145	-0.361426523	-0.076405083	0.43327733	-0.834507146	0.147147898	-0.656081979	0.233095569	-0.095377947	-0.330136698	0.247254542	-0.508364054	-0.379034182	0.169335658
