x	y	BPH_1	BPH_2	BPH_3	BPH_4	BPH_5	BPH_6	BPH_7	BPH_8	BPH_9	BPH_10	BPH_11	BPH_12	BPH_13	BPH_14	G5_1	G5_2	G5_3	G5_4	G5_5	G5_6	G5_7	G5_8	G5_9	G5_10	G5_11	G5_12	G5_13	G5_14	G5_15	G5_16	G5_17	G5_18
2051	303	0.686337311	0.374353697	-0.170480256	0.307324437	0.170294728	0.991078267	0.638147002	-0.296397161	-0.284223583	0.062808294	-0.270988833	0.689992796	-0.091226996	0.265451651	0.031476486	-0.108240415	-0.314550523	0.095819461	-0.257929532	-0.148890686	-0.118700114	-0.450411961	-0.621650492	-0.431916466	0.044570982	-0.83377345	0.006481626	-0.514668715	-0.194981812	-0.303093695	-0.458224762	-0.431967882
1427	664	0.525946955	0.017544275	0.065104151	0.018873179	0.264440839	0.412769825	0.580691947	1.050521274	-0.260736874	-0.688094529	0.568041942	0.388565349	0.07212884	0.40081754	0.012782305	-0.375862484	-0.60824571	0.154206556	-0.29360388	-0.514340805	-0.274338493	0.188894596	-0.566738692	0.029587828	-0.729449881	0.613451204	-0.034497481	-0.320343895	0.303975575	-0.769091273	-0.426937388	0.093813466
1238	603	0.662659137	0.183970406	-0.019064946	-0.067527595	0.237177416	0.426904753	0.630049365	0.943287308	-0.311138653	-0.618160328	0.574811007	0.400152802	-0.124911086	0.339329456	0.049555265	-0.321879419	-0.597366521	0.064290623	-0.242257273	-0.651792036	-0.317175212	0.169249551	-0.768227625	0.064825283	-0.803904445	0.607714121	-0.041319418	-0.569915953	0.275107496	-0.631247629	-0.683394327	0.094530035
1278	659	0.474510684	-0.030231221	0.044412663	0.175531659	0.297825768	0.517342766	0.427054256	1.119443583	-0.253915364	-0.622529092	0.345300455	0.410317784	0.078940291	0.454510318	0.018647487	-0.304455671	-0.510954916	0.064215207	-0.329231853	-0.593856978	-0.370642407	0.005935552	-0.559508512	-0.035681558	-0.801679787	0.773768739	0.00344786	-0.390386728	0.313216493	-0.745543652	-0.570953683	0.055809488
786	462	-0.490242731	-0.225880668	0.367350661	0.813544995	0.257267912	-0.584158012	-0.534237838	0.080300667	0.032769602	0.072206923	0.143154851	0.666735696	0.090072428	0.613842432	-0.250931462	-0.318439748	-0.296531342	-0.016985805	-0.113148029	-0.292429999	-0.492738975	0.153838266	-0.655005093	0.196793141	-0.523109035	-0.149429948	-0.729853045	-0.139003194	-0.67926458	-0.267573474	-0.114758906	-0.050778858
1129	611	0.602005876	0.103356865	0.081809651	0.076494651	0.28384154	0.528214333	0.61478955	1.049101043	-0.282200406	-0.565385508	0.548159172	0.440638116	-0.034295716	0.388508683	0.012934007	-0.269631997	-0.63184275	0.053853767	-0.342959484	-0.589864625	-0.281808465	0.153828824	-0.589064896	0.047547508	-0.804222711	0.545616393	-0.016702039	-0.519465335	0.328612097	-0.619895336	-0.580699323	0.166678202
1887	228	1.036473692	-0.073391516	-0.201541873	-0.082171188	0.024708126	1.050575902	0.791722748	1.065033591	-0.069848517	0.694476368	0.081090057	-0.148848392	-0.091258675	-0.141824972	-0.323961024	-0.202004449	-0.662223775	-0.019263136	-0.201282236	-0.033739864	0.068536171	-0.004691393	0.160135662	0.079159689	0.053557661	0.215586268	0.000245663	-0.270831182	0.09053623	0.101410317	-0.151545978	0.174250442
1574	675	0.482637645	0.068368236	0.064640711	-0.227735568	0.259182398	0.362845865	0.686809803	1.032914123	-0.291502665	-0.09649647	0.769821626	0.272279341	-0.020023726	0.267443752	-0.061059778	-0.279951325	-0.508738748	0.2327671	-0.260437321	-0.270628102	-0.063415895	0.285650991	-0.47882943	0.081705591	-0.510674945	0.394994874	-0.098420586	-0.22584983	0.24757732	-0.445331912	-0.312387544	0.125967977
1201	1178	0.065915883	0.0509137	0.064460764	-1.507106393	0.195880984	-0.235395609	0.027740674	0.340685371	-0.438821359	-1.627461764	0.680062923	0.532245763	-0.049535524	0.451080598	0.051691908	-0.16113935	-0.57378309	0.353038388	-0.538149868	-0.737545884	-0.119227796	0.238584613	-0.520216246	0.335772331	-0.670764431	0.625799784	0.063717527	-0.331947533	0.351035867	-0.674217037	-0.460502845	0.21395497
1454	1497	-0.227779538	0.606540602	0.573813185	0.684015339	0.91276755	0.318097447	-0.495978234	0.38165924	0.183397242	-0.47442707	-0.486286127	0.915195311	-0.189681447	0.370665496	0.490319782	-0.158196777	-0.00033823	-0.741040128	0.060571757	-0.555668244	-0.408151108	-0.342826081	-0.076372325	-0.593926287	-0.720054564	0.257925576	-0.195535183	-0.381710436	0.256237765	-0.439397192	-0.657582241	-0.223553692
2001	1267	0.368893792	-0.090895854	0.073880992	-0.255438126	-0.174281373	0.128880046	0.21175368	0.342387245	-0.364274288	-0.430263437	0.412172057	0.616498373	-0.285550923	0.322429281	0.02867099	-0.304207939	-0.556502275	0.137026468	-0.673990963	-0.368927733	-0.455640796	0.013789875	-0.615876274	-0.297771603	-0.522748261	0.08013487	-0.677099844	-0.577600752	0.132970619	-0.506604927	-0.82023391	-0.371395947
1990	299	0.49681653	0.523432809	-0.019755728	0.384895911	0.139583684	0.724808274	0.489343639	-0.305288793	-0.115638982	0.293497963	-0.188558432	0.702838893	-0.085721297	0.351558676	0.052988492	-0.068584434	-0.221259284	0.095054771	-0.285885014	-0.156558903	-0.200595926	-0.02920326	-0.655707922	0.090241606	0.162591387	-0.663206203	0.018982992	-0.414877341	-0.139589913	-0.251548287	-0.414574725	-0.401757806
992	596	0.63181246	0.068533177	0.0512066	0.224423356	0.256397764	0.495483085	0.513940644	0.958275016	-0.245234994	-0.40565819	0.360379273	0.440399826	-0.020068766	0.42397323	0.027610254	-0.248264364	-0.522309086	-0.007652168	-0.388953514	-0.515958407	-0.239049993	0.065965703	-0.420252543	3.02E-05	-0.540574976	0.598121206	0.010194937	-0.279470113	0.285039706	-0.445687182	-0.378522372	0.137178046
2025	298	0.336959991	0.401790916	-0.0120417	0.276212284	0.029155915	0.610018429	0.98694545	0.002948956	-0.105105453	0.196022925	-0.15772814	0.651318834	0.065086846	0.371506115	0.085196849	-0.017637087	-0.182340501	0.149312273	-0.148332964	-0.074101449	-0.062933398	-0.054282362	-0.616723399	-0.185360236	0.065552846	-0.540517167	0.021185814	-0.19531098	-0.061710558	-0.175359303	-0.397407366	-0.297168608
1964	1186	0.576534869	-0.009896475	0.246284827	-1.173527947	0.052787518	0.419169666	0.45030183	0.398262007	-0.232132198	-0.793638196	0.637083722	0.565202378	-0.211856701	0.530253574	0.115545054	-0.240262962	-0.581991078	0.430089574	-0.420425354	-0.346499557	-0.199871175	0.164562786	-0.541695528	-0.111352361	-0.738281092	0.359993449	-0.335180367	-0.458277573	0.250162108	-0.895005529	-0.721913937	-0.289366467
1823	925	0.07243157	0.649620994	-0.105432751	-0.02368922	-0.052884939	-0.595999532	0.668803495	-0.679067042	0.402943007	-0.429186142	0.815753247	-0.259933715	0.134090689	0.240616115	-0.049473094	0.111090374	-0.374888369	-0.140688017	-0.039210184	-0.525540903	-0.337100577	-0.336940559	-1.170341526	-0.909145932	-0.015968471	-1.149714564	-0.580256841	-0.323569904	0.273211013	-0.123805241	-0.410304586	-0.748924794
1058	601	0.418040067	0.168958587	0.049415437	-0.073181505	0.295727233	0.432420156	0.463801637	0.96123723	-0.24367299	0.229075087	0.45704878	0.4505162	-0.012674031	0.255613667	0.077183901	-0.051941108	-0.248006103	0.088459504	-0.21305436	-0.444503679	-0.340376296	0.12869218	-0.197592807	0.020082272	-0.3249965	0.55053914	0.004839095	-0.541806323	0.257056332	-0.78589003	-0.513505925	0.0979501
2028	481	0.823448448	-0.149890323	-0.275760765	-0.13767172	-0.037174948	0.90825493	0.639016415	0.789298068	0.181661803	0.939308782	-0.050723101	-0.204362565	0.102256762	-0.12380561	-0.006727924	-0.018956494	0.061422508	0.007021735	0.043336353	0.007375688	-0.06927328	-0.008746199	0.106329206	0.088257491	-0.197843671	-0.526188071	0.006298233	-0.003609892	-0.014470144	-0.006668545	-0.302527276	-0.028184466
1612	1187	0.59366176	-0.168133081	-0.013486683	-0.583884633	0.181425126	0.259510957	0.410189896	0.575684482	-0.218253903	-0.474127088	0.563604966	0.366689408	-0.07003383	0.368986048	-0.014137075	-0.224630989	-0.602028922	0.157425865	-0.426024079	-0.284459661	-0.154193186	0.193087467	-0.34265366	-0.031968746	-0.668460656	0.375133435	-0.025504193	-0.274574124	0.120984982	-0.509048922	-0.39956164	0.047975844
1566	621	0.393362175	0.221627017	0.128002393	-0.054370885	0.21455195	0.191492692	0.828005986	0.750633835	-0.34529376	-0.585335	0.872772063	0.104312643	-0.165755755	0.200099131	-0.095710623	-0.161170024	-0.529878051	0.099004152	-0.155924394	-0.216668887	-0.078394496	0.448032032	-0.518629459	0.02263618	-0.369155628	-0.026708255	-0.179917509	-0.16402932	0.125190365	-0.474574342	-0.358963601	0.087640562
1040	814	0.131154237	-0.236708401	-0.006072032	-0.058050497	0.058649368	0.725973622	0.203666742	0.699275424	0.12496811	0.845558997	0.112457295	0.051452215	0.343143895	-0.207800416	-0.66264457	-0.430094148	-0.397405988	-0.416131547	-0.3731805	-0.071153726	-0.081473765	-0.01900366	0.036097095	-0.094387105	-0.015004012	-0.277351289	-0.296246988	-0.074741891	-0.061247076	-0.150068212	0.003187606	0.024029332
1891	1176	0.536112255	-0.27630718	-0.238904271	-0.630032674	-0.017026924	0.163615737	0.138656686	0.559208255	-0.220777994	-0.399498864	0.393220091	0.479085021	-0.320882757	0.167205718	0.11370981	-0.229139988	-0.47023018	0.3921136	-0.573186386	-0.310673002	-0.322625459	0.130882357	-0.414914826	-0.318266121	-0.105634181	-0.013601132	-0.348452817	-0.41409432	0.195384401	-0.405305818	-0.517661622	-0.2619315
1822	225	0.696429164	0.041411693	-0.005935494	0.090619613	0.170597767	0.812241982	0.669275394	0.801658412	-0.095077386	0.935391779	0.014535595	-0.154330342	-0.128158938	0.022859487	-0.295512209	0.013535888	-0.063220812	-0.083092553	-0.217006971	0.078355767	0.00499604	-0.076271772	0.110025407	0.018302813	0.067542897	0.152328954	-0.069830699	-0.082540577	-0.010137834	0.039489394	-0.202560032	0.09011409
1939	294	0.407969624	0.604819971	0.144285227	0.520128505	0.076599465	0.234677614	0.42687802	-0.250076752	0.001086404	0.222805482	-0.069767664	0.638806512	0.026690631	0.313881614	0.003013914	0.114076342	-0.148211975	0.11179498	-0.174728218	-0.154846357	-0.210972591	0.015790789	-0.621078643	0.005960142	0.1248453	-0.448452878	-0.068029252	-0.119109981	-0.066778469	-0.274192099	-0.474442919	-0.494406227
1385	605	0.469518637	0.217260306	0.077457936	-0.002855069	0.227888446	0.236884746	0.38184078	0.766546848	-0.322375567	-0.411191895	0.840520559	0.388470489	-0.09848077	0.184755535	-0.066426406	-0.343473317	-0.941429559	0.185912726	-0.037469994	-0.533930207	-0.238084938	0.313991295	-0.185041524	0.12155673	-0.584517976	0.327660523	-0.095231648	-0.384248857	0.28405491	-0.513487182	-0.328708054	0.131085019
972	570	1.025021237	-0.26736152	-0.177963459	0.043319027	-0.070937065	0.115598213	0.799839488	0.949976343	-0.451705772	0.301278253	0.412965211	0.442093794	-0.200701022	0.066573283	-0.357760832	-0.41161559	-0.551394904	-0.461020668	0.067589106	-0.068750755	0.032817622	0.518474934	-0.457778664	-0.242349727	-0.535248612	0.10967743	-0.225914596	0.458578225	-0.160998012	0.406216007	-0.561269407	-0.184514811
1130	648	0.177704508	-0.035415052	0.059576218	0.357383656	0.24296427	0.203514365	0.01435164	0.765598043	-0.137241401	-0.769621377	0.290555555	0.463295292	0.128865882	0.538077844	0.060783056	-0.250007874	-0.353635857	0.097434055	-0.37305332	-0.628398587	-0.387979033	-0.108365236	-0.426503426	-0.086406704	-0.708084333	0.732042774	-0.022754712	-0.335465275	0.276291959	-0.751329231	-0.573020042	0.039407436
840	469	-0.318192861	-0.273700517	0.278628294	0.701477967	0.329776904	-0.643146641	-0.680499527	0.032853323	0.328243171	-0.121881515	0.084778704	0.622960485	0.162988545	0.523435806	0.148050111	0.149108272	0.02166423	0.179142512	0.22425284	-0.351899702	-0.616588699	0.116603148	-0.58013413	0.098042857	-0.579657508	-0.184258271	-0.780332284	-0.1952167	-0.697252851	-0.066193582	-0.122101067	-0.075914138
574	1245	-0.647563463	-0.085666986	-0.128954325	-0.319410266	-0.028899409	-0.532224143	-0.625048678	-0.527143163	-0.332375661	-0.278844974	-0.293023428	-0.44007182	-0.323122127	-0.226028735	0.565444701	0.107485608	0.064934327	0.81631728	-0.204967608	0.092685718	0.159231726	0.086312459	0.147623081	-0.209546313	-0.009918934	-0.248287817	-0.186970575	-0.181037832	-0.369857839	-0.134095525	-0.138190854	-0.283256407
1913	294	0.351470305	0.681934892	0.14567426	0.286237855	0.02121349	0.095589485	0.343288528	-0.322471514	-0.182585515	0.210313958	-0.011163028	0.673683807	0.073097929	0.442750072	-0.119697822	0.106389714	-0.072252641	0.058136373	-0.289170897	-0.169796322	-0.163199686	-0.069757404	-0.495439054	0.005657445	-0.037699967	-0.34482162	-0.141413748	-0.230245885	0.009878232	-0.347571777	-0.463440629	-0.460052876
1084	554	0.245070752	0.216139527	0.180816906	0.124590862	0.079878705	0.262607411	0.163671655	0.440468055	0.129294921	0.682504348	0.250560402	-0.250215277	0.209622927	0.092430288	-0.309719204	0.105163329	-0.270891476	-0.378124561	-0.231528424	-0.048114868	-0.060681423	-0.105013743	-0.489417781	-0.424490159	-0.011429286	-0.385587461	-0.460361193	0.061206971	-0.063472938	-0.08757696	-0.241812122	-0.341864764
731	450	-0.555601505	-0.204131243	0.385668802	0.422647901	0.230012992	-0.711560966	-0.511014772	-0.029753163	-0.095401717	0.018347226	0.051560027	0.695545781	0.090075243	0.566572476	-0.263620476	-0.329015399	-0.354256927	0.014383294	-0.132107654	-0.265220766	-0.546818821	0.143943192	-0.535802311	0.143237505	-0.42759678	-0.192103815	-0.609993577	-0.104405885	-0.655854094	-0.257901686	-0.151364079	0.01186904
1065	459	0.159890259	0.142782588	0.236807374	0.244453284	-0.446882495	0.479082395	0.799513531	0.187286345	0.197879684	0.869692112	0.307401561	0.071127239	-0.453781547	0.130029618	-0.527307393	-0.517800318	0.197634106	0.145895245	-0.449605704	-0.37567953	0.244240594	-0.581532552	0.380818998	0.3131221	0.387489154	0.239043565	-0.475032017	-0.386730168	0.204960663	-0.323816631	0.272871097	0.332737478
886	801	0.232683924	-0.234043245	-0.005537713	0.026073661	-0.125675863	0.668160696	0.3116948	0.525568443	0.029619795	0.826278905	0.0336028	0.055864792	0.267637274	-0.238520049	-0.257871523	-0.254639214	-0.047787343	-0.179240184	-0.291314758	-0.045397002	-0.068754307	-0.059320623	0.083156278	0.008521055	-0.087325091	-0.126759392	-0.397269758	-0.084231887	-0.067390278	-0.157529679	-0.054476465	-0.090949942
1941	1546	0.345699741	-0.172981885	-0.019208169	0.099637013	-0.090414174	0.537621857	0.242357403	0.414204897	0.032508358	0.814341976	0.075296533	0.210502037	0.534264625	0.109135727	-0.294825549	-0.243688344	-0.111557136	-0.104732904	-0.084333933	-0.084511353	-0.053094673	0.110413014	0.042322325	-0.079463182	-0.180435547	-0.007994777	-0.133632299	-0.080919275	-0.042554732	-0.130502618	-0.088007714	-0.055445311
602	1079	-0.353475282	0.028235855	-0.163677197	-0.243346219	-0.093070044	-0.618605179	-0.778749047	-0.653004573	-0.430437358	-0.564191548	-0.183260118	-0.820555307	-0.690607861	-0.280623732	0.114861649	0.20968319	0.24375692	0.042848035	0.089944165	0.191782444	-0.064037275	-0.117042111	-0.315816869	-0.282832406	-0.13371516	-0.224893504	-0.302612076	-0.271112355	-0.538997924	-0.234164681	-0.213649213	-0.313970832
262	1179	-0.572021918	0.193625398	0.051606258	-0.020076879	-0.095729033	-0.16995378	-0.536880848	-0.179486286	-0.505104207	-0.075981655	-0.22053666	-0.60740148	-0.544844118	-0.342202915	0.244906711	0.65029032	0.45776942	0.446947543	0.05798281	-0.002735879	0.255342219	-0.128115208	0.026274561	-0.163281238	0.071256222	0.132812226	-0.323373094	-0.193604398	-0.445159999	-0.048593153	-0.370145852	-0.223292301
1615	533	0.704812084	0.333290261	0.456827632	0.056510444	-0.016185735	-0.23731677	0.231822315	-0.190600145	0.347810659	0.263540405	0.361716598	-0.29085941	0.278719856	0.144888304	-0.244089305	0.415383622	-0.260514091	-0.031082092	-0.227406912	-0.084985484	-0.238373805	-0.159837726	-0.626627345	-0.723148815	0.003994792	-0.477903819	-0.788452478	0.046744626	0.206361763	-0.185692251	-0.468973452	-0.240220484
1528	678	0.154146028	0.340015336	0.056790571	0.337796444	0.706688574	-0.178987082	0.399256023	-0.086553069	0.29306593	-0.423817806	-0.336369035	0.168729929	-0.120820004	0.113310388	-0.028106766	-0.704360777	0.158773835	0.113245971	0.233349302	-0.594173672	0.056014444	-0.392263624	-0.735027643	0.122005302	-0.28921701	-0.368105193	-0.613338756	0.004156271	-0.300876123	-0.773405953	-0.713786193	-0.475080281
1793	901	0.198769846	0.437685549	0.290767158	0.211890089	0.036871756	0.019187849	0.10559855	0.157611964	0.220861244	0.341632076	0.55618009	-0.451523448	0.068104628	-0.03273168	-0.29819684	0.289998471	-0.27171386	-0.193172773	-0.293020715	-0.103825528	-0.241655125	-0.069086746	-0.127622368	-0.45589772	-0.279372248	-0.405126775	-0.372991963	-0.007006618	-0.000949796	-0.287744544	-0.194456333	-0.248522574
1242	659	-0.111113959	0.133417902	0.127854529	0.487010016	0.602129973	-0.042693711	0.136995259	0.17137172	0.29978591	-0.867848212	-0.207864036	0.443870961	0.047931961	0.249602879	-0.014131886	-0.371422454	0.266677675	0.071806814	0.161102295	-0.686576442	-0.24283777	-0.464045413	-0.639052959	0.084120542	-0.345382039	0.13516169	-0.387534761	-0.137584113	-0.21928316	-1.169801566	-0.886684429	-0.419382785
1725	681	-0.03556263	-0.189292668	-0.175568411	-0.223051634	0.312976699	-0.052669331	0.240003821	0.403124961	0.079927963	-0.096770238	0.690027206	0.133653287	-0.013234827	-0.008021148	-0.104289139	-0.342322896	-0.276928736	0.328453225	-0.126274289	-0.36389419	0.029013747	0.381276936	-0.47950628	-0.005246189	-0.726218495	0.107986812	-0.194214236	-0.237422887	0.137554929	-0.488001385	-0.363176552	0.156999016
1201	1243	0.039332351	0.027124951	0.050025141	0.184575652	0.138772144	-0.159161625	0.104712528	0.370517059	-0.252432649	-0.375511789	0.542919721	0.468678033	-0.081505571	0.410380494	0.038719219	-0.214824315	-0.225087076	0.310424023	-0.396336718	-0.116579646	-0.10898818	0.205600921	0.037613717	0.255355134	-0.433636178	0.559330226	-0.025357414	-0.257447849	0.152883306	-0.284920839	-0.262660927	0.117977226
1389	667	0.089971902	0.282644748	0.121993726	0.393302149	0.607477176	-0.146238746	0.311083408	0.36862936	0.351660249	-0.37985301	-0.005068045	0.356962003	0.025083445	0.207754215	-0.014379641	-0.725870805	0.200438853	0.195717758	0.268952077	-0.455780158	-0.051489452	-0.267436155	-0.406623058	0.097666034	-0.348665963	0.060853287	-0.228846956	-0.099310639	-0.134141708	-1.130180516	-0.820220447	-0.332530359
752	569	-0.01169523	0.052416217	0.070568541	0.48488781	0.234171146	0.109441013	-0.083779793	0.447807601	-0.239286774	-0.675765659	0.180750996	0.492176256	0.047980002	0.499407134	0.093463816	-0.096067921	-0.37172439	0.014034334	-0.368650135	-0.549887926	-0.367598134	-0.147077493	-0.370955239	-0.065400529	-0.574202277	0.511849981	0.034200403	-0.403718818	0.24303183	-0.630536045	-0.43440274	0.081343158
810	1019	-0.517989821	-0.187043677	-0.174457468	-0.25400017	0.001220998	-0.472634429	-0.385837976	-0.371444554	-0.586565556	-0.529466542	-0.324870798	-0.584224016	-0.365699592	-0.478617326	0.48193666	-0.056623006	0.181004499	0.250070832	0.100590013	0.135046138	-0.051130746	-0.129635061	-0.058300832	-0.306283322	-0.175482425	-0.427640559	-0.194188588	-0.111523888	-0.205654438	-0.051902014	-0.002862966	-0.499724625
1780	541	0.473939458	0.405499668	0.318059439	0.087381904	0.004131254	0.185870004	0.321617711	0.233918194	0.270024743	0.58874956	0.102240497	-0.11132754	0.395001864	-0.08596487	-0.026569022	0.257901524	0.077238135	-0.052023365	0.081943212	-0.027245605	-0.133474873	-0.24518743	-0.183015923	-0.405291053	-0.06833488	-0.377173983	-0.289487201	0.065897849	0.079924649	-0.082465083	-0.298100696	-0.239661331
867	583	0.043459687	0.074336478	0.071185698	0.392846751	0.263595334	0.142303002	-0.04067264	0.608047819	-0.205341681	-0.267061795	0.270409145	0.452832165	0.051989859	0.446978073	0.060865751	-0.139708985	-0.346225288	0.00658958	-0.385466468	-0.308859734	-0.209438208	-0.056023847	-0.280897795	-0.025830358	-0.371977538	0.570258925	0.045317345	-0.401243776	0.277674479	-0.539594106	-0.317493351	0.142135897
106	1149	-0.13723661	-0.051719958	0.013985503	-0.454304954	0.129437603	0.087391335	0.197315937	0.42850052	-0.482657887	-0.463001591	0.473733903	0.421624661	-0.084385126	0.302256685	0.0706785	-0.119118612	-0.325258423	0.175147491	-0.380407809	-0.339049461	-0.166276799	0.104716742	-0.114357254	0.086212747	-0.448989913	0.497784824	-0.105302292	-0.201094659	0.110139898	-0.330325579	-0.31899977	0.153994602
826	947	-1.211475266	-0.105394964	0.069341314	-0.053276896	-0.118659808	-1.291566603	-1.203554121	-1.163429017	-0.256241197	-0.850843425	-0.176933283	-0.275325609	-0.199608855	-0.167496846	0.326354468	-0.081022939	0.142649696	0.119780408	0.09471956	0.061756803	-0.013420165	0.034415154	0.054290696	-0.100470162	0.040361807	-0.18777397	-0.073430884	0.102411058	-0.143084031	-0.019375126	0.132609502	-0.088399964
1264	158	-0.027922232	-0.231875233	0.37967244	0.389791665	-0.205097452	-0.263763174	-0.281205094	0.195806873	0.125281084	-0.004060728	0.070583589	0.309257243	0.205251014	0.449385553	-1.087284538	-0.9550899	-0.488988373	-0.424153602	-0.374185946	0.061326408	-0.178099108	-0.170114602	-0.10290844	-0.233684098	-0.150487703	-0.094901501	-0.13914516	0.021821685	-0.030655517	-0.095565664	-0.239734828	-0.094694225
